Feature,1,2,3,4,5,6,7,8,9,10,11,12
S69,8.234977997,220.0826424,-21.90470465,-21.10340038,-45.83400793,-43.78451677,-6.594410367,11.97751515,20.99680437,-26.02162584,16.51936995,11.97172354
S70,8.369239478,253.2458133,-22.99843852,-22.28603039,-44.90518237,-44.72314625,-4.757415418,11.96448226,18.69759538,-25.24374506,18.73596479,11.54087928
S71,7.694804127,271.4232424,-24.05468269,-23.4554364,-43.01672574,-45.19336136,-3.41404589,11.37184946,17.66929792,-24.42997161,21.0153117,10.75191991
S72,11.46571291,289.6534465,-24.95488306,-24.40532656,-28.10514393,-47.71800512,-1.866493372,11.52235971,15.40437967,-23.36378114,23.29869494,10.1531638
S73,7.443169007,303.33568,-27.04925554,-26.54887888,-13.01790933,-44.29526253,-0.737961033,10.43308154,16.52575558,-21.76016365,21.88316405,9.166037137
S74,0.672393887,314.491954,-28.5250839,-28.10303513,-13.69553147,-46.48427494,-0.621293506,7.704122162,16.43400726,-20.51746326,15.86792839,9.67212163
S75,6.502609988,309.0202747,-29.6650632,-29.36427155,-15.57085629,-51.98030721,-0.094804912,7.540652908,13.22814103,-20.18207142,18.2304891,10.50162693
S76,10.53994035,297.4584922,-29.85388366,-29.3627347,-25.68983965,-52.62567159,-0.962178296,8.544861515,11.11048943,-23.29057428,22.46848556,9.801238046
S77,11.28099868,268.4917089,-30.12921016,-29.50510577,-35.12592659,-48.19897895,-1.934934042,9.050419142,10.03698879,-25.82315477,27.02870582,7.977958969
S78,8.134964966,235.4093303,-31.64132567,-31.06938155,-52.33414228,-48.13803627,-3.394503222,9.371395691,7.729772027,-26.19171593,22.26582416,1.91407196
S79,2.584220294,190.6396893,-32.43367915,-31.87392731,-67.23167142,-48.57627871,-5.676187615,8.567804885,5.89046996,-26.66325118,15.60275469,-5.684789634
S80,-0.740531382,143.2238981,-32.35472988,-31.69817529,-74.02455896,-46.48314045,-9.188236405,7.246708365,5.619539388,-29.88856538,12.56104905,-11.1967742
S81,-3.454133707,100.5943029,-31.76757453,-31.10134039,-78.35041071,-43.44793492,-12.61467282,5.821814805,5.266251099,-32.30624824,9.965625546,-15.54490828
S82,-1.516857393,62.74988037,-31.83898968,-31.26940584,-61.04154183,-48.24260045,-13.98069515,6.160249256,7.847066937,-30.0419588,6.494579512,-13.94815882
S83,-1.631437462,21.61182508,-31.1269465,-30.70145345,-43.57393103,-49.2134254,-15.50047858,6.829767362,9.689147447,-28.1481929,4.214531748,-11.59258829
S84,-6.684959994,-22.66804153,-29.23487313,-28.91675816,-43.61066752,-49.26032335,-17.41431154,6.852391001,2.639153291,-27.22669874,1.684897165,-10.63750777
S85,-8.803189568,-55.97170081,-26.25575358,-26.13934132,-42.37722858,-45.49948011,-18.25889742,7.523326023,-3.584266899,-25.74901994,0.423792062,-9.949555469
S86,-5.105413517,-92.92360964,-20.71069259,-21.10811932,-22.52124313,-27.26968776,-17.79450978,10.06486073,-3.625544638,-23.96042017,3.19939106,-2.961399738
